company,Count,Percentage
481.0,1,8.375910880308233e-06
487.0,1,8.375910880308233e-06
446.0,1,8.375910880308233e-06
273.0,1,8.375910880308233e-06
479.0,1,8.375910880308233e-06
109.0,1,8.375910880308233e-06
101.0,1,8.375910880308233e-06
393.0,1,8.375910880308233e-06
499.0,1,8.375910880308233e-06
229.0,1,8.375910880308233e-06
455.0,1,8.375910880308233e-06
398.0,1,8.375910880308233e-06
132.0,1,8.375910880308233e-06
142.0,1,8.375910880308233e-06
76.0,1,8.375910880308233e-06
284.0,1,8.375910880308233e-06
234.0,1,8.375910880308233e-06
420.0,1,8.375910880308233e-06
368.0,1,8.375910880308233e-06
288.0,1,8.375910880308233e-06
506.0,1,8.375910880308233e-06
309.0,1,8.375910880308233e-06
54.0,1,8.375910880308233e-06
412.0,1,8.375910880308233e-06
96.0,1,8.375910880308233e-06
258.0,1,8.375910880308233e-06
401.0,1,8.375910880308233e-06
184.0,1,8.375910880308233e-06
541.0,1,8.375910880308233e-06
318.0,1,8.375910880308233e-06
373.0,1,8.375910880308233e-06
416.0,1,8.375910880308233e-06
35.0,1,8.375910880308233e-06
18.0,1,8.375910880308233e-06
496.0,1,8.375910880308233e-06
257.0,1,8.375910880308233e-06
415.0,1,8.375910880308233e-06
402.0,1,8.375910880308233e-06
253.0,1,8.375910880308233e-06
425.0,1,8.375910880308233e-06
11.0,1,8.375910880308233e-06
104.0,1,8.375910880308233e-06
501.0,1,8.375910880308233e-06
