adr,Count,Percentage
231.0,59,0.0004941787419381858
74.25,59,0.0004941787419381858
143.0,59,0.0004941787419381858
75.6,59,0.0004941787419381858
130.05,59,0.0004941787419381858
168.0,58,0.00048580283105787754
97.75,58,0.00048580283105787754
93.5,58,0.00048580283105787754
216.0,57,0.0004774269201775693
224.0,57,0.0004774269201775693
53.0,57,0.0004774269201775693
58.95,57,0.0004774269201775693
173.0,56,0.0004690510092972611
26.1,56,0.0004690510092972611
56.7,56,0.0004690510092972611
108.8,56,0.0004690510092972611
85.33,55,0.0004606750984169528
136.8,55,0.0004606750984169528
103.7,55,0.0004606750984169528
84.6,54,0.0004522991875366446
95.2,54,0.0004522991875366446
204.0,54,0.0004522991875366446
70.4,53,0.0004439232766563364
141.3,53,0.0004439232766563364
196.0,53,0.0004439232766563364
40.05,52,0.00043554736577602817
57.5,52,0.00043554736577602817
46.8,51,0.0004271714548957199
212.0,51,0.0004271714548957199
40.5,51,0.0004271714548957199
201.0,51,0.0004271714548957199
183.0,50,0.0004187955440154117
91.5,50,0.0004187955440154117
59.4,50,0.0004187955440154117
90.67,50,0.0004187955440154117
179.1,50,0.0004187955440154117
69.5,50,0.0004187955440154117
61.2,50,0.0004187955440154117
67.15,49,0.00041041963313510346
178.0,49,0.00041041963313510346
136.5,49,0.00041041963313510346
92.65,48,0.0004020437222547952
105.4,48,0.0004020437222547952
214.0,48,0.0004020437222547952
114.75,47,0.00039366781137448696
198.9,47,0.00039366781137448696
115.6,47,0.00039366781137448696
207.0,47,0.00039366781137448696
73.8,46,0.00038529190049417874
244.0,46,0.00038529190049417874
186.0,46,0.00038529190049417874
34.4,46,0.00038529190049417874
82.88,45,0.0003769159896138705
119.7,45,0.0003769159896138705
97.02,44,0.00036854007873356225
206.0,44,0.00036854007873356225
181.0,44,0.00036854007873356225
97.5,44,0.00036854007873356225
123.5,43,0.00036016416785325403
215.0,43,0.00036016416785325403
241.0,43,0.00036016416785325403
106.25,43,0.00036016416785325403
147.9,43,0.00036016416785325403
104.55,43,0.00036016416785325403
104.85,43,0.00036016416785325403
239.0,42,0.0003517882569729458
163.0,42,0.0003517882569729458
260.0,42,0.0003517882569729458
110.5,42,0.0003517882569729458
134.3,42,0.0003517882569729458
59.5,42,0.0003517882569729458
158.4,42,0.0003517882569729458
98.6,41,0.0003434123460926376
107.95,41,0.0003434123460926376
229.0,41,0.0003434123460926376
77.35,41,0.0003434123460926376
188.0,41,0.0003434123460926376
117.3,41,0.0003434123460926376
235.0,41,0.0003434123460926376
133.2,41,0.0003434123460926376
270.0,41,0.0003434123460926376
76.8,40,0.0003350364352123293
259.0,40,0.0003350364352123293
64.9,40,0.0003350364352123293
202.0,40,0.0003350364352123293
193.0,40,0.0003350364352123293
224.67,40,0.0003350364352123293
77.5,40,0.0003350364352123293
207.9,39,0.0003266605243320211
78.5,39,0.0003266605243320211
82.8,39,0.0003266605243320211
118.15,39,0.0003266605243320211
182.0,39,0.0003266605243320211
57.8,38,0.0003182846134517129
72.5,38,0.0003182846134517129
125.8,38,0.0003182846134517129
150.45,38,0.0003182846134517129
103.05,38,0.0003182846134517129
40.95,38,0.0003182846134517129
118.5,37,0.00030990870257140466
44.8,37,0.00030990870257140466
153.75,37,0.00030990870257140466
222.0,37,0.00030990870257140466
63.4,36,0.0003015327916910964
127.5,36,0.0003015327916910964
133.33,36,0.0003015327916910964
38.4,36,0.0003015327916910964
88.5,36,0.0003015327916910964
234.0,36,0.0003015327916910964
115.5,36,0.0003015327916910964
32.4,35,0.00029315688081078817
116.5,35,0.00029315688081078817
89.2,35,0.00029315688081078817
98.4,35,0.00029315688081078817
92.4,35,0.00029315688081078817
52.8,35,0.00029315688081078817
49.95,35,0.00029315688081078817
252.0,35,0.00029315688081078817
31.0,35,0.00029315688081078817
